
tcpserver	 devID：7	 write:734	 12/23/2021, 12:14:15 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:14:35 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:14:55 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:15:15 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:15:35 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:15:55 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:16:15 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:16:35 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:16:55 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:17:15 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:17:35 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:17:55 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:18:15 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:18:35 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:18:55 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:19:15 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:19:35 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:19:55 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:20:15 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:20:35 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:20:55 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:21:15 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:21:35 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:21:55 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:22:15 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:22:35 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:22:55 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:23:15 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:23:35 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:23:55 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:24:15 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:24:35 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:24:55 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:25:15 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:25:35 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:25:55 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:26:15 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:26:35 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:26:55 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:27:15 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:27:35 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:27:55 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:28:15 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:28:35 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:28:55 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:29:15 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:29:35 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:29:55 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:30:15 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:30:35 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:30:55 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:31:15 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:31:35 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:31:55 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:32:15 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:32:35 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:32:55 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:33:15 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:33:35 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:33:55 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:34:15 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:34:35 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:34:55 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:35:15 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:35:35 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:35:55 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:36:15 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:36:35 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:36:55 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:37:15 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:37:35 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:37:55 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:38:15 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:38:35 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:38:55 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:39:15 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:39:35 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:39:55 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:40:15 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:40:35 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:40:55 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:41:15 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:41:35 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:41:55 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:42:15 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:42:35 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:42:55 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:43:15 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:43:35 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:43:55 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:44:15 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:44:35 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:44:55 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:45:15 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:45:35 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:45:55 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:46:15 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:46:35 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:46:55 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:47:15 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:47:35 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:47:55 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:48:15 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:48:35 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:48:55 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:49:15 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:49:35 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:49:55 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:50:15 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:50:35 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:50:55 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:51:15 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:51:35 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:51:55 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:52:15 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:52:35 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:52:55 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:53:15 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:53:35 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:53:55 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:54:15 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:54:35 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:54:55 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:55:15 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:55:35 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:55:55 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:56:15 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:56:35 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:56:55 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:57:15 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:57:35 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:57:55 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:58:15 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:58:35 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:58:55 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:59:15 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:59:35 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 12:59:55 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:00:15 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:00:35 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:00:55 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:01:15 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:01:35 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:01:55 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:02:15 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:02:35 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:02:55 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:03:15 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:03:35 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:03:55 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:04:15 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:04:35 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:04:55 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:05:15 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:05:35 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:05:55 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:06:15 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:06:35 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:06:55 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:07:15 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:07:35 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:07:55 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:08:15 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:08:35 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:08:55 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:09:15 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:09:35 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:09:55 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:10:15 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:10:35 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:10:55 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:11:15 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:11:35 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:11:55 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:12:15 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:12:35 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:12:55 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:13:15 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:13:35 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:13:55 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:14:15 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:14:35 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:14:55 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:15:15 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:15:35 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:15:55 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:16:15 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:16:35 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:16:55 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:17:15 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:17:35 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:17:55 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:18:15 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:18:35 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:18:55 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:19:15 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:19:35 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:19:55 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:20:15 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:20:35 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:20:55 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:21:15 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:21:35 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:21:55 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:22:15 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:22:35 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:22:55 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:23:15 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:23:35 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:23:55 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:24:15 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:24:35 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:24:55 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:25:15 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:25:35 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:25:55 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:26:16 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:26:36 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:26:56 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:27:16 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:27:36 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:27:56 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:28:16 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:28:36 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:28:56 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:29:16 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:29:36 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:29:56 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:30:16 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:30:36 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:30:56 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:31:16 PM 
